Phase ,Date,Set,Section,Exercise,Load,Reps_Or_Duration,Notes
10,9/7/2026,1,primary,Chest-supported DB Row - Spider,140,12,
10,9/7/2026,2,primary,Chest-supported DB Row - Spider,140,12,
10,9/7/2026,3,primary,Chest-supported DB Row - Spider,140,10,
10,9/7/2026,4,primary,Single-arm Neutral-grip Cable Pulldown,85,10,Right side first; match outputs
10,9/7/2026,5,primary,Single-arm Neutral-grip Cable Pulldown,85,11,
10,9/7/2026,6,primary,Single-arm Neutral-grip Cable Pulldown,85,11,
10,9/7/2026,7,primary,Reverse Pec Deck / Back Fly Machine,80,15,
10,9/7/2026,8,primary,Reverse Pec Deck / Back Fly Machine,85,14,
10,9/7/2026,9,primary,Reverse Pec Deck / Back Fly Machine,85,13,
10,9/7/2026,10,primary,Cable High-to-mid Fly,40,10,
10,9/7/2026,11,primary,Cable High-to-mid Fly,40,9,Wide pulley for both sets
10,9/7/2026,12,primary,Cable Lateral Raise - Elbow Strap,15,15,
10,9/7/2026,13,primary,Cable Lateral Raise - Elbow Strap,15,13,I dunno. Not feeling it as much in the delta today. No trap engagement but just not feeling as much mind-muscle connection today.
10,9/7/2026,14,primary,Cable Lateral Raise - Elbow Strap,15,13,
10,9/7/2026,15,primary,Rope Triceps Pushdown,45,15,
10,9/7/2026,16,primary,Rope Triceps Pushdown,45,12,
10,9/7/2026,17,primary,Rope Triceps Pushdown,45,10,
10,9/7/2026,18,primary,Kneeling Single-arm Rope Extension,20,9,Need to re-establish working load when triceps is in this order. The Rx loads are for fresh triceps
10,9/7/2026,19,primary,Kneeling Single-arm Rope Extension,25,9,
10,9/7/2026,20,primary,One-arm Cable Curl,25,12,
10,9/7/2026,21,primary,One-arm Cable Curl,25,12,
10,9/7/2026,22,primary,One-arm Cable Curl,25,9,
10,9/7/2026,23,primary,Farmer’s Hold,140,,
10,9/7/2026,24,primary,Farmer’s Hold,140,55,
10,9/6/2026,1,primary,Treadmill Walking (manual Entry Cause It Didn’t Parse),,05:00,"4.8 mph, 5% incline, .63 km"
10,9/6/2026,2,warmup,Prisoner Squat,,10,
10,9/6/2026,3,warmup,Hip Hinge,,12,
10,9/6/2026,4,primary,Farmer’s Walk,150,65,
10,9/6/2026,5,primary,Farmer’s Walk,150,65,
10,9/6/2026,6,primary,Farmer’s Walk,150,65,
10,9/6/2026,7,primary,DB Romanian Deadlift,150,11,Note for beta testing- if a user changes the weight manually the next set should probably remain at that weight as I don’t think the Rx will be followed subsequent sets if they modified earlier. Thoughts?
10,9/6/2026,8,primary,DB Romanian Deadlift,150,11,
10,9/6/2026,9,primary,DB Romanian Deadlift,150,10,Forearm lactic acid fatigue on 10. Could have done 11 but grip would’ve been fongertip
10,9/6/2026,10,primary,Bulgarian Split Squat,60,8/side,40 lbs contralateral; 20 lbs ipsilateral
10,9/6/2026,11,primary,Bulgarian Split Squat,60,8/side,
10,9/6/2026,12,primary,Bulgarian Split Squat,60,8/side,
10,9/6/2026,13,primary,Leg Press,160,15,
10,9/6/2026,14,primary,Leg Press,160,15,
10,9/6/2026,15,primary,Leg Press,160,15,
10,9/6/2026,16,primary,Standing Calf Machine,150,15,
10,9/6/2026,17,primary,Standing Calf Machine,150,14,Good set. Was challenging at 14. Could have reached 15 but was worried I’d get a Charlie horse in my calf
10,9/6/2026,18,primary,Standing Calf Machine,150,13,
10,9/6/2026,19,primary,Dead Hang,,76,
10,9/6/2026,20,primary,Glute Extension,70,12,
10,9/6/2026,21,primary,Glute Extension,70,12,
10,9/5/2026,1,primary,Treadmill Walking (manually Added),,05:00,
10,9/5/2026,2,warmup,Serratus Wall Slides (banded),,8,
10,9/5/2026,3,warmup,Band External Rotation,,15,
10,9/5/2026,4,warmup,Serratus Wall Slides (banded),,8,
10,9/5/2026,5,warmup,Band External Rotation,,15,
10,9/5/2026,6,primary,Cable High-to-mid Fly,40,12,Wide adjustable pulley system 👍
10,9/5/2026,7,primary,Cable High-to-mid Fly,40,10,
10,9/5/2026,8,primary,Cable High-to-mid Fly,40,8,
10,9/5/2026,9,primary,Single-arm Cable Press,22.5,12,
10,9/5/2026,10,primary,Single-arm Cable Press,25,12,
10,9/5/2026,11,primary,Single-arm Cable Press,27.5,12,Cable height at 13 for all 3 sets
10,9/5/2026,12,primary,Supine Press Machine - Plate Loaded,50,12,
10,9/5/2026,13,primary,Supine Press Machine - Plate Loaded,70,12,Slight awareness on 11-12 but more of an full extension and fatigue awareness in biceps all good though 👍
10,9/5/2026,14,primary,Cable Lateral Raise - Elbow Strap,12.5,15,
10,9/5/2026,15,primary,Cable Lateral Raise - Elbow Strap,15,14,
10,9/5/2026,16,primary,Cable Lateral Raise - Elbow Strap,15,13,I would give my form a C+ on that set. No cheating but just felt ‘less’ overall
10,9/5/2026,17,primary,Rope Triceps Pushdown,40,15,
10,9/5/2026,18,primary,Rope Triceps Pushdown,42.5,14,
10,9/5/2026,19,primary,Rope Triceps Pushdown,42.5,11,
10,9/5/2026,20,primary,Kneeling Single-arm Rope Extension,20,8,May need to recalibrate the prescription on load as that was based off fresh triceps but we’ve since integrated rope extensions before this exercise
10,9/5/2026,21,primary,Kneeling Single-arm Rope Extension,25,8,
10,9/5/2026,22,primary,Kneeling Single-arm Rope Extension,25,9,
10,9/5/2026,23,primary,Scap Push-up,,12,
10,9/5/2026,24,primary,Scap Push-up,,12,
